external_id,rating,content,text_indobert,text_indobert_slang,initial_sentiment,final_sentiment,true_label,predicted_label,prob_negative,prob_neutral,prob_positive,confidence
482122f2-02cd-42cb-974c-005edb8ab1f3,4,Gak bisa offline,Gak bisa offline,tidak bisa offline,Positive,Positive,Positive,Negative,0.7421252,0.16270974,0.095165044,0.7421252
ff669b08-0ceb-4278-91ef-d0bc4b90e0ac,3,"bagus ,ada lirik nya cuman iklan nya ,ada terjemahan nya","bagus ,ada lirik nya cuman iklan nya ,ada terjemahan nya","bagus ,ada lirik nya cuman iklan nya ,ada terjemahan nya",Neutral,Neutral,Neutral,Positive,0.033062447,0.094986185,0.87195134,0.87195134
bb318c4c-9e7e-464a-97be-be76d9be26d2,1,Payah,Payah,Payah,Negative,Negative,Negative,Positive,0.15136658,0.41677466,0.43185872,0.43185872
898f6ce2-f99f-4bf8-b7f4-fba58cf6e1fb,3,Top,Top,terbaik,Neutral,Neutral,Neutral,Positive,0.038684294,0.29540068,0.665915,0.665915
f2490d54-4323-41d6-aec0-2e12ab8b7ca7,2,pengen bisa di download lagu nya,pengen bisa di download lagu nya,ingin bisa di unduh lagu nya,Negative,Negative,Negative,Neutral,0.12724957,0.77349234,0.09925808,0.77349234
4845598c-f8c7-47b0-a46b-ac25a4f567fd,2,Imo,Imo,menurut saya,Negative,Negative,Negative,Positive,0.058286287,0.102588505,0.8391252,0.8391252
9a2ba6d8-6798-42ce-bf38-ccae9ddd5e84,1,Lah kenapa sekarang jadi terbatas lagunya?,Lah kenapa sekarang jadi terbatas lagunya?,Lah kenapa sekarang jadi terbatas lagunya?,Negative,Negative,Negative,Neutral,0.15074378,0.8242138,0.025042443,0.8242138
7563f843-631a-4c2d-b655-42c2204d7f50,4,udah bisa login tapi boleh ga kalo pas mau ganti lagu jangan iklan trus.. iklannya pas udah 8-9 pindah lagu aja..,udah bisa login tapi boleh ga kalo pas mau ganti lagu jangan iklan trus.. iklannya pas udah 8-9 pindah lagu aja..,sudah bisa login tetapi boleh tidak kalau pas ingin ganti lagu jangan iklan terus.. iklannya pas sudah 8-9 pindah lagu saja..,Positive,Positive,Positive,Negative,0.71252346,0.15928991,0.1281866,0.71252346
495f844c-ae7c-4e1f-a4d0-d2e862038105,2,Not bad,Not bad,Not buruk,Negative,Negative,Negative,Neutral,0.19149114,0.72907174,0.07943714,0.72907174
9dea83d7-8071-470e-90cf-5826a2bb6cc1,3,"kurangin bintang, skrg dh kikir spotify, masa mau dengar lgu aja gk smuanya bsa hrus premium, pemaksaan sue🗿","kurangin bintang, skrg dh kikir spotify, masa mau dengar lgu aja gk smuanya bsa hrus premium, pemaksaan sue🗿","kurangin bintang, sekarang dh kikir spotify, masa ingin dengar lagu saja tidak smuanya bisa harus premium, pemaksaan sue🗿",Neutral,Neutral,Neutral,Negative,0.9732592,0.017826905,0.008913766,0.9732592
fc6e6ad2-4b58-4bb2-b79c-3f7bb5dac513,3,ga bisa kalo ga ada kuota nya,ga bisa kalo ga ada kuota nya,tidak bisa kalau tidak ada kuota nya,Neutral,Negative,Negative,Neutral,0.17839463,0.68669593,0.1349094,0.68669593
2e21f634-f4ef-4dd5-9939-30cb20e0106d,1,Jelek jangan coba,Jelek jangan coba,Jelek jangan mencoba,Negative,Negative,Negative,Neutral,0.28575307,0.66097146,0.053275466,0.66097146
57cfbbd1-c2b5-40b8-99bd-5827301fc6b1,4,Bagus seh 💅🙏👁️👄👁️,Bagus seh 💅🙏👁️👄👁️,Bagus seh 💅🙏👁️👄👁️,Positive,Positive,Positive,Neutral,0.27734244,0.41422397,0.30843353,0.41422397
7b4f3013-336f-4964-a5a8-7d87bee3329c,4,kok tidak bisa di instal ya,kok tidak bisa di instal ya,kok tidak bisa di pasang ya,Positive,Positive,Positive,Negative,0.7079831,0.14133586,0.15068105,0.7079831
673099a7-7e29-4df5-9034-c8ef4b0769c7,3,Iv,Iv,Iv,Neutral,Neutral,Neutral,Positive,0.15136658,0.41677466,0.43185872,0.43185872
8674d8e7-08ca-4d64-9cfb-cb643d847d5a,1,RIBETTTTTT,RIBETTTTTT,RIBETTTTTT,Negative,Negative,Negative,Positive,0.15136658,0.41677466,0.43185872,0.43185872
4fef8c70-c7b9-4f2a-aafe-945e861073e1,2,nice ... tingkatan trus,nice ... tingkatan trus,bagus ... tingkatan terus,Negative,Negative,Negative,Positive,0.0315984,0.09472903,0.87367254,0.87367254
c98d8cd1-1b9c-4f6d-804d-a59777b0dc3f,1,Macet macet mulu,Macet macet mulu,Macet macet mulu,Negative,Negative,Negative,Neutral,0.06688014,0.9192164,0.013903553,0.9192164
562b9205-1aa8-49e0-85d9-d1fe3a62cf8a,4,not bad,not bad,not buruk,Positive,Positive,Positive,Neutral,0.037193146,0.6880572,0.27474964,0.6880572
a8a823d9-67b3-4774-b450-d7f70529f148,2,lebih suka spotify yang dulu,lebih suka spotify yang dulu,lebih suka spotify yang dulu,Negative,Negative,Negative,Positive,0.45911828,0.012181739,0.52869993,0.52869993
e2008d5f-e23b-4c11-ac03-b81138a344aa,2,E kak sabar,E kak sabar,E kak sabar,Negative,Negative,Negative,Neutral,0.0670273,0.8714361,0.061536636,0.8714361
655e67d8-4458-4883-a6f0-240dcf9b8431,3,Apik,Apik,bagus,Neutral,Neutral,Neutral,Positive,0.035977323,0.20682824,0.7571944,0.7571944
63929b4c-37aa-4ee1-bf8b-836f132d4b6d,4,"Saya biasa pake aplikasi ini untuk mendengar saat belajar atau saat santai, aplikasi ini bagus buat santai-santai, masalahnya, kalau tidak ada premium, kita tidak bisa download lagu. Kalo bisa, pengguna free diperbolehkan download lagu apapun, sebab tanpa internet, aplikasi ini hampir tidak berguna bagi pengguna free.","Saya biasa pake aplikasi ini untuk mendengar saat belajar atau saat santai, aplikasi ini bagus buat santai-santai, masalahnya, kalau tidak ada premium, kita tidak bisa download lagu. Kalo bisa, pengguna free diperbolehkan download lagu apapun, sebab tanpa internet, aplikasi ini hampir tidak berguna bagi pengguna free.","Saya biasa memakai aplikasi ini untuk mendengar saat belajar atau saat santai, aplikasi ini bagus buat santai-santai, masalahnya, kalau tidak ada premium, kita tidak bisa unduh lagu. kalau bisa, pengguna gratis diperbolehkan unduh lagu apapun, karena tanpa internet, aplikasi ini hampir tidak berguna bagi pengguna gratis.",Positive,Positive,Positive,Neutral,0.25750962,0.6207817,0.12170863,0.6207817
6dda6c24-c941-4c11-a012-3304ddf1c444,3,Lumayan bagus,Lumayan bagus,cukup baik,Neutral,Positive,Positive,Neutral,0.04265957,0.7907734,0.16656706,0.7907734
cda7241c-c42c-405d-b2e3-ea7d849129d0,1,"Sebenarnya aplikasi yang bagus,hanya bagi yang gratisan berasa dengerin iklan daripada musiknya, tp ya gpp drpd bayar tiap bulannya tp ga aktif buka ni aplikasi, malah rugi sendiri, saran saya perbanyak lagi iklannya trus iklannya yg lama2 gitu bos,lebih suka dengerin iklannya drpd musiknya, atolah perpanjang lagi durasi iklannya bos, kan untung banyak kan drpd pengguna yg harus bayar","Sebenarnya aplikasi yang bagus,hanya bagi yang gratisan berasa dengerin iklan daripada musiknya, tp ya gpp drpd bayar tiap bulannya tp ga aktif buka ni aplikasi, malah rugi sendiri, saran saya perbanyak lagi iklannya trus iklannya yg lama2 gitu bos,lebih suka dengerin iklannya drpd musiknya, atolah perpanjang lagi durasi iklannya bos, kan untung banyak kan drpd pengguna yg harus bayar","Sebenarnya aplikasi yang bagus,hanya bagi yang gratis berasa mendengar iklan daripada musiknya, tapi ya gpp drpd membayar setiap bulannya tapi tidak aktif buka ni aplikasi, malahan rugi sendiri, saran saya perbanyak lagi iklannya terus iklannya yang lama2 gitu bos,lebih suka mendengar iklannya drpd musiknya, atolah perpanjang lagi durasi iklannya bos, kan untung banyak kan drpd pengguna yang harus membayar",Negative,Negative,Negative,Neutral,0.09877537,0.68147177,0.21975282,0.68147177
313c76ff-d034-410a-bdb1-04e923fd625a,2,👍,👍,👍,Negative,Negative,Negative,Positive,0.15136658,0.41677466,0.43185872,0.43185872
6eb678ff-0c5d-4523-a5fb-b5503d18bb03,3,harga premium nya ke mahalan,harga premium nya ke mahalan,harga premium nya ke mahalan,Neutral,Neutral,Neutral,Negative,0.4023057,0.3594097,0.23828463,0.4023057
afacc4e3-e507-4505-9245-940fedc835b9,3,baikkkk,baikkkk,baikkkk,Neutral,Neutral,Neutral,Positive,0.018572109,0.06286084,0.91856706,0.91856706
7f9c6fc7-d012-4bd4-b152-118b2110d8ed,3,Gak bisa buka track list .. tapi asik,Gak bisa buka track list .. tapi asik,tidak bisa buka track list .. tetapi menyenangkan,Neutral,Negative,Negative,Neutral,0.11262973,0.7311064,0.15626384,0.7311064
694631b7-8d3d-4741-91df-708cffee8b35,3,Bikin smua jendre lagu,Bikin smua jendre lagu,Bikin semua jendre lagu,Neutral,Neutral,Neutral,Negative,0.6029257,0.37773237,0.019341977,0.6029257
4cf34437-6cf1-4026-8791-33aa998847c7,3,Gini bang kan aku ini pengguna gratis. Tolonglah bang jangan iklan2 horor kau pake ganti apk pemutar lagu lama2 aku ini bang please lah,Gini bang kan aku ini pengguna gratis. Tolonglah bang jangan iklan2 horor kau pake ganti apk pemutar lagu lama2 aku ini bang please lah,Gini abang kan saya ini pengguna gratis. Tolonglah abang jangan iklan-iklan horor kau memakai ganti aplikasi pemutar lagu lama2 saya ini abang mohon lah,Neutral,Neutral,Neutral,Negative,0.87001896,0.03807429,0.09190679,0.87001896
93f5d315-b518-4041-82f2-98d8e40984bd,5,kenapa gk bisa di update aplikasi spotify yaa ada kendala apa yaa ?mohon maaaf 🙏,kenapa gk bisa di update aplikasi spotify yaa ada kendala apa yaa ?mohon maaaf 🙏,kenapa tidak bisa di terbaru aplikasi spotify ya ada kendala apa ya ?mohon maaaf 🙏,Positive,Positive,Positive,Negative,0.6770223,0.19626594,0.12671182,0.6770223
c64d210c-2a1a-43bb-bd54-9fb91001d252,2,"awal"" download bagus suka banget,tapi kok pas udah lama di download, susah milih lagu yaa malah ke lagu lain yang direkomendasikan apknya please spotify nya kenapaaa harus banget premiumm😭😭bener"" greget karna harus dengerin lagu yang direkomendasikan😭😭😭mok nangiss sangking gregetnya gak bisa denger lagu yang dipilih sendiriii😭😭benerin dongg😭😭","awal"" download bagus suka banget,tapi kok pas udah lama di download, susah milih lagu yaa malah ke lagu lain yang direkomendasikan apknya please spotify nya kenapaaa harus banget premiumm😭😭bener"" greget karna harus dengerin lagu yang direkomendasikan😭😭😭mok nangiss sangking gregetnya gak bisa denger lagu yang dipilih sendiriii😭😭benerin dongg😭😭","awal"" unduh bagus suka banget,tetapi kok pas sudah lama di unduh, sulit milih lagu ya malahan ke lagu lain yang direkomendasikan apknya mohon spotify nya kenapaaa harus banget premiumm😭😭benar"" greget karena harus mendengarkan lagu yang direkomendasikan😭😭😭mok nangiss sangking gregetnya tidak bisa mendengar lagu yang dipilih sendiriii😭😭benerin dong😭😭",Negative,Negative,Negative,Neutral,0.2993161,0.5747292,0.12595466,0.5747292
3b73d5bb-48b6-42f8-ba47-7ab14b46ac7f,3,"kalo gratis bisanya acak ga bisa terserah Mau mana , mending J*OX Mah kalo Gini....","kalo gratis bisanya acak ga bisa terserah Mau mana , mending J*OX Mah kalo Gini....","kalau gratis bisanya acak tidak bisa terserah ingin dimana , lebih baik J*OX Mah kalau Gini....",Neutral,Negative,Negative,Neutral,0.19778663,0.77655077,0.025662603,0.77655077
4c5f5ad3-fee0-424f-bc7c-94f74a42b762,3,Makin update makin jelek,Makin update makin jelek,semakin terbaru semakin jelek,Neutral,Neutral,Neutral,Negative,0.9703462,0.02490474,0.004749041,0.9703462
85dc8659-b5d2-41fc-9dc7-2ddfb06fb18c,2,daftar nya lumayan ribet,daftar nya lumayan ribet,daftar nya cukup baik rumit,Negative,Negative,Negative,Neutral,0.13672632,0.76683503,0.096438594,0.76683503
fbb1de2f-96e5-4c60-9811-e27201607583,4,ini knp di spotify gd mini pack yg 2.500 ya? pdhl dulu ada,ini knp di spotify gd mini pack yg 2.500 ya? pdhl dulu ada,ini kenapa di spotify gd mini pack yang 2.500 ya? padahal dulu ada,Positive,Positive,Positive,Neutral,0.38889486,0.55556595,0.055539206,0.55556595
9171b75d-8588-4c0c-88e2-5d8fab224da1,2,lirik ny gaada mulu,lirik ny gaada mulu,lirik ny tidak ada mulu,Negative,Negative,Negative,Neutral,0.28027102,0.5939993,0.12572964,0.5939993
fd89c268-bbe9-4215-b9a4-4e5d65656891,3,"kenapa ko punya aku jadinya offline gitu, padahal datanya udah nyala dan bagus bgt juga jaringannya","kenapa ko punya aku jadinya offline gitu, padahal datanya udah nyala dan bagus bgt juga jaringannya","kenapa kok punya saya sehingga offline gitu, padahal datanya sudah menyala dan sangat bagus juga jaringannya",Neutral,Positive,Positive,Negative,0.47564083,0.06125437,0.46310478,0.47564083
4368f946-e969-49fb-a92e-50d321d8e588,1,Suaranya bagus bagus,Suaranya bagus bagus,Suaranya bagus bagus,Negative,Negative,Negative,Positive,0.17128213,0.12917475,0.6995431,0.6995431
a80e29a9-9a0c-4ce5-8189-8c1ef15e47fd,4,"Sebenernya sih udh bagus.. tapi kalo kita ngedengerin lagu diplaylist kesukaan kita itu nggak sesuai playlist gitu lagu yg diputar nya, dan coba tanpa internet juga bisa mendengarkan lagu dari spotify, terakhir boleh dikuranggi iklan nya? soalnya rada terganggu dengan iklan²nya jangan dari premium aja, soalnya saya jadi terganggu gara² iklan nya. Terimakasih spotify","Sebenernya sih udh bagus.. tapi kalo kita ngedengerin lagu diplaylist kesukaan kita itu nggak sesuai playlist gitu lagu yg diputar nya, dan coba tanpa internet juga bisa mendengarkan lagu dari spotify, terakhir boleh dikuranggi iklan nya? soalnya rada terganggu dengan iklan2nya jangan dari premium aja, soalnya saya jadi terganggu gara2 iklan nya. Terimakasih spotify","Sebenernya sih sudah bagus.. tetapi kalau kita ngedengerin lagu diplaylist kesukaan kita itu tidak sesuai playlist gitu lagu yang diputar nya, dan mencoba tanpa internet juga bisa mendengarkan lagu dari spotify, terakhir boleh dikuranggi iklan nya? karena rada terganggu dengan iklan2nya jangan dari premium saja, karena saya jadi terganggu gara2 iklan nya. Terimakasih spotify",Positive,Positive,Positive,Neutral,0.043103702,0.73836654,0.21852972,0.73836654
178118ab-f410-4a9a-b4b9-fc75b47915bd,3,tiba2 g bisa bayar premium pake Gopay. ada apa ini? padahal udah dapat kode spotifynya,tiba2 g bisa bayar premium pake Gopay. ada apa ini? padahal udah dapat kode spotifynya,tiba-tiba tidak bisa membayar premium memakai Gopay. ada apa ini? padahal sudah dapat kode spotifynya,Neutral,Neutral,Neutral,Negative,0.8724934,0.0897119,0.03779473,0.8724934
27e7b8ce-219a-4282-88fb-983427a51e94,1,Bagus sih tapi harus ada iklan terus jadi orang gak mood tau,Bagus sih tapi harus ada iklan terus jadi orang gak mood tau,Bagus sih tetapi harus ada iklan terus-menerus jadi orang tidak suasana hati tau,Negative,Negative,Negative,Neutral,0.07795104,0.52928877,0.39276016,0.52928877
2fa685de-6137-4702-ad80-670be581b44b,3,Kalou bgs ok kasih lgh,Kalou bgs ok kasih lgh,Kalou bagus oke memberi lgh,Neutral,Neutral,Neutral,Positive,0.06348212,0.24338375,0.6931341,0.6931341
36c0d082-492a-4fe7-8d4b-da66b2018dc5,2,Update nya rda rda...,Update nya rda rda...,terbaru nya rda rda...,Negative,Negative,Negative,Neutral,0.16335881,0.7777045,0.058936782,0.7777045
bdecdc9d-fa3f-4247-9ddb-0deea6a0dc78,3,Mkn sampah kalpa aja,Mkn sampah kalpa aja,Mkn buruk kalpa saja,Neutral,Neutral,Neutral,Negative,0.48658198,0.3709726,0.14244547,0.48658198
c5bbee55-8540-44c0-8d94-24dc6ff7795d,3,"Bagus sih...tapi iklannya kebanyakan,masak satu lagu satu iklan tapi y maklum aja lah namanya juga gratisan ,,😀😃tapi makin ke sini malah makin ngelunjak iklannya 😭😭😭 tambah banyak dan keseringan,,,dari youtobe beralih ke spotify kirain beda ternyata lama2 sama kek youtobe.","Bagus sih...tapi iklannya kebanyakan,masak satu lagu satu iklan tapi y maklum aja lah namanya juga gratisan ,,😀😃tapi makin ke sini malah makin ngelunjak iklannya 😭😭😭 tambah banyak dan keseringan,,,dari youtobe beralih ke spotify kirain beda ternyata lama2 sama kek youtobe.","Bagus sih...tetapi iklannya kebanyakan,masak satu lagu satu iklan tetapi y maklum saja lah namanya juga gratis ,,😀😃tetapi semakin ke sini malahan semakin ngelunjak iklannya 😭😭😭 semakin banyak dan keseringan,,,dari youtobe beralih ke spotify kirain beda ternyata lama2 sama seperti youtobe.",Neutral,Neutral,Neutral,Negative,0.63012224,0.20439315,0.16548468,0.63012224
97450371-249d-432d-a324-2036aca5fb89,4,terlalu banyak iklan tapi mendinglah gratis,terlalu banyak iklan tapi mendinglah gratis,terlalu banyak iklan tetapi mendinglah gratis,Positive,Positive,Positive,Negative,0.7778283,0.002514192,0.21965751,0.7778283
46c17048-60ff-44b1-a902-7a41e91af70b,3,"ASLI TOLONG IKLANNYA JGN HOROR, AKU LAGI NANGIS JADI BATAL NANGISNYA..","ASLI TOLONG IKLANNYA JGN HOROR, AKU LAGI NANGIS JADI BATAL NANGISNYA..","ASLI TOLONG IKLANNYA jangan HOROR, saya LAGI NANGIS JADI batalkan NANGISNYA..",Neutral,Neutral,Neutral,Negative,0.89538664,0.056481507,0.048131827,0.89538664
e73c75b0-22a2-4e99-9e44-722ea1d2fd5d,4,Lagunya kurang koplit,Lagunya kurang koplit,Lagunya kurang koplit,Positive,Positive,Positive,Neutral,0.020767653,0.9614659,0.01776644,0.9614659
cc2d8a90-b6d3-415f-9e76-6df52527196d,5,memuwaskan,memuwaskan,memuwaskan,Positive,Positive,Positive,Neutral,0.09950983,0.45523447,0.44525576,0.45523447
2efda38f-15d4-4064-a056-7e43229420ad,5,pokoknya asyk lah...,pokoknya asyk lah...,pokoknya asyk lah...,Positive,Positive,Positive,Negative,0.60909826,0.060310867,0.33059087,0.60909826
76144f25-9231-4511-8977-340d8613c49d,3,"untuk lagu lengkap,tapi boleh ga sih jangan dikit² iklan? and kalo bisa lirik itu ga usah premium,aku sering dengerin lagu.kalo bisa harga premiumnya turunin dikit itu MAHAL BGT.","untuk lagu lengkap,tapi boleh ga sih jangan dikit2 iklan? and kalo bisa lirik itu ga usah premium,aku sering dengerin lagu.kalo bisa harga premiumnya turunin dikit itu MAHAL BGT.","untuk lagu lengkap,tetapi boleh tidak sih jangan dikit2 iklan? and kalau bisa lirik itu tidak usah premium,saya sering mendengarkan lagu.kalau bisa harga premiumnya turunin sedikit itu sangat mahal.",Neutral,Negative,Negative,Positive,0.14058758,0.33900285,0.5204095,0.5204095
5e65fd35-a663-48be-ab69-fa667aa2ce27,3,Ok,Ok,oke,Neutral,Neutral,Neutral,Positive,0.06055083,0.46894747,0.47050166,0.47050166
67d76a17-b23a-4c2b-b6c6-fbeae42469df,2,"Damn instead adding more feature so that making Premium looks interesting, you just lock every single basic features that used to be a Primary feature. Petty","Damn instead adding more feature so that making Premium looks interesting, you just lock every single basic features that used to be a Primary feature. Petty","Damn malahan adding more fitur agar making Premium looks interesting, you hanya lock every single basic fitur that used to be a Primary fitur. Petty",Negative,Negative,Negative,Neutral,0.19340768,0.6773335,0.12925887,0.6773335
c7273388-8913-4eb3-84a3-b099367e0e6b,2,dengarkn musik lbih happy,dengarkn musik lbih happy,dengarkn musik lbih senang,Negative,Negative,Negative,Neutral,0.09048805,0.5683685,0.3411435,0.5683685
a2b6700a-6f03-40fc-bab8-e98fcf454562,3,Very disappointed coming back to Spotify a couple years away. Inserting songs into my selected playlist is fine as long as the songs are remotely similar to the currently selected playlist or any playlist I've made but sappy Indonesian love songs? NEVER! This is happening two or three songs into my playlist and I can't make it stop so I've deleted the app because it's annoying af. Would it be so difficult just to play the songs I've liked?,Very disappointed coming back to Spotify a couple years away. Inserting songs into my selected playlist is fine as long as the songs are remotely similar to the currently selected playlist or any playlist I've made but sappy Indonesian love songs? NEVER! This is happening two or three songs into my playlist and I can't make it stop so I've deleted the app because it's annoying af. Would it be so difficult just to play the songs I've liked?,Very kecewa coming back to Spotify a couple years away. Inserting lagu into my selected playlist is fine as long as the lagu are remotely similar to the currently selected playlist or any playlist I've made but sappy Indonesian suka lagu? NEVER! This is happening two or three lagu into my playlist and I tidak bisa memakai it stop so I've deleted the aplikasi because it's menyebalkan af. Would it be so difficult hanya to play the lagu I've disukai?,Neutral,Neutral,Neutral,Negative,0.906641,0.07351681,0.019842217,0.906641
57717afd-aa19-4302-89b1-5df1348098e0,1,good job,good job,bagus job,Negative,Negative,Negative,Positive,0.029121447,0.15431578,0.8165628,0.8165628
